MerchantID,city,name,address,latitude,logitude,phone,rate,reviewSize
17900,Hà Nội,Soya Garden - Kim Mã,"273 Kim Mã (1 Trần Huy Liệu), Quận Ba Đình, Hà Nội",21.030877,105.819720,,3.750000,11
12744,Hà Nội,Tasty Tea - Shop Online,"183 Giảng Võ, Quận Ba Đình, Hà Nội",21.027680,105.824876,,3.650000,12
20149,Hà Nội,Beard Papa's - Đội Cấn,"209 Đội Cấn., Quận Ba Đình, Hà Nội",21.035157,105.822213,,3.850000,20
2481,Hà Nội,"Nhật Minh - Bánh Xèo, Nem Lụi & Bún Chả","129 Đội Cấn, Quận Ba Đình, Hà Nội",21.034714,105.828249,,3.850000,14
3855,Hà Nội,Busstop Coffee & Cakes - Thành Công,"121 B1 Thành Công, Quận Ba Đình, Hà Nội",21.020643,105.815256,,3.750000,8
54301,Hà Nội,Tổ Nếm - Sườn Nướng Online,"6 Ngõ 189/104 Hoàng Hoa Thám, Quận Ba Đình, Hà Nội",21.039933,105.820648,,4.150000,10
9096,Hà Nội,Phở Cuốn Thanh Hằng,"29B Ngũ Xã, P. Trúc Bạch, Quận Ba Đình, Hà Nội",21.045993,105.841099,,3.700000,8
9310,Hà Nội,Salut Restaurant - Ẩm Thực Nga,"60 Ngọc Khánh, Quận Ba Đình, Hà Nội",21.026572,105.817899,,3.000000,9
14030,Hà Nội,Bếp Xuka - Đội Cấn,"153 Đội Cấn, Quận Ba Đình, Hà Nội",21.034952,105.825833,,3.350000,9
8378,Hà Nội,Teen Food - Món Ăn Ngon & Sạch - Hoàng Hoa Thám,"44 Hoàng Hoa Thám, Quận Ba Đình, Hà Nội",21.040077,105.826895,,3.700000,9
63473,Hà Nội,Xà Cừ - Food & Drinks,"1 Dốc Hoè Nhai, Quận Ba Đình, Hà Nội",21.042364,105.848157,,3.950000,10
38357,Hà Nội,Trà Sữa Teaholic - Quán Thánh,"99 Quán Thánh, Quận Ba Đình, Hà Nội",21.042981,105.839772,,3.250000,13
60927,Hà Nội,Bún Cá Chấm Gốc Đa - Sơn Tây,"55 Sơn Tây, Quận Ba Đình, Hà Nội",21.032928,105.831041,,3.900000,12
5784,Hà Nội,Bánh Mì Minh Nhật - Ngọc Khánh,"40 Ngọc Khánh, Quận Ba Đình, Hà Nội",21.029462,105.817429,,2.750000,13
10303,Hà Nội,Oanh Vân - Hủ Tiếu Nem Cuốn,"32T Hòe Nhai, Quận Ba Đình, Hà Nội",21.040830,105.845981,,4.100000,7
18431,Hà Nội,Royaltea - Phan Kế Bính,"30 Phan Kế Bính, Quận Ba Đình, Hà Nội",21.034596,105.811381,,3.100000,9
5313,Hà Nội,Vịt 29 - Đội Cấn,"199 Đội Cấn, Quận Ba Đình, Hà Nội",21.034900,105.824625,,3.000000,11
50601,Hà Nội,Bà Ba Quán - Cơm Sườn Nướng - Hoàng Hoa Thám,"12 Ngách 189/35 Hoàng Hoa Thám, Quận Ba Đình, Hà Nội",21.041220,105.820224,,3.450000,13
45855,Hà Nội,YiFang - Taiwan Fruit Tea - Thanh Niên,"11 Thanh Niên, Quận Ba Đình, Hà Nội",21.042989,105.835967,,2.950000,13
4615,Hà Nội,Oregano Deli - Nhà Hàng Cây Kinh Giới,"637A Kim Mã, Ba Dinh District, Hà Nội",21.029192,105.807288,,3.700000,8
2495,Hà Nội,Jusu Juice & Snack Bar - Nước Ép Trái Cây Online,"172 Ngọc Khánh, Ba Dinh District, Hà Nội",21.024620,105.819198,,3.600000,8
36982,Hà Nội,Ốc & Ăn Vặt - Thành Công,"104A5 TT. Thành Công, Quận Ba Đình, Hà Nội",21.021151,105.813333,,3.050000,7
7629,Hà Nội,Jasmin - Bánh Mì Doner Kebab,"104B D1 Trần Huy Liệu, Tập Thể Giảng Võ, Ba Dinh District, Hà Nội",21.026825,105.822496,,3.350000,18
5552,Hà Nội,Sân C7 Beer Club,"C7 Giảng Võ, Quận Ba Đình, Hà Nội",21.027569,105.822375,,3.600000,9
15959,Hà Nội,Bánh Cuốn Phủ Lý - Châu Long,"39 Châu Long, Quận Ba Đình, Hà Nội",21.044608,105.842398,,4.150000,5
14148,Hà Nội,Lynk Juice - Nước Ép Trái Cây Online,"Đối Diện Ban Quản Lý Chợ Ngọc Hà, Ba Dinh District, Hà Nội",21.033976,105.831805,,4.200000,19
23674,Hà Nội,Bánh Mì Nem Khoai & Khoai Lang Lắc - Kim Mã Thượng,"10 Kim Mã thượng, Ba Dinh District, Hà Nội",21.035924,105.813459,,3.800000,8
31779,Hà Nội,Gemini Coffee - Giang Văn Minh,"43 Giang Văn Minh, Quận Ba Đình, Hà Nội",21.031396,105.826835,,3.100000,20
31011,Hà Nội,Five Star Vietnam - Thành Công,"101 C10 TT. Thành Công , Quận Ba Đình, Hà Nội",21.022942,105.814125,,3.750000,8
43028,Hà Nội,2Cream - Kem Homemade,"3 Ngõ Hàng Đậu, Quận Ba Đình, Hà Nội",21.040408,105.848009,,4.200000,10
